Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,2000-02-13,Alaves,Oviedo,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-13,Betis,Barcelona,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-13,Celta,Sociedad,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-02-13,Espanol,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-02-13,Numancia,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-13,Santander,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-02-13,Zaragoza,Vallecano,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-15,Valladolid,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-19,La Coruna,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-20,Ath Madrid,Espanol,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-20,Barcelona,Valladolid,2.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-20,Malaga,Numancia,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-02-20,Mallorca,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-20,Oviedo,Betis,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-02-20,Sevilla,Alaves,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-02-20,Sociedad,Zaragoza,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-20,Valencia,Real Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-20,Vallecano,Santander,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-02-26,Numancia,Valencia,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-02-26,Real Madrid,Barcelona,2.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-27,Alaves,Ath Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-27,Ath Bilbao,Malaga,1.0,2.0,A,,,,,,,,,,,,,
primera,2000-02-27,Betis,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,2000-02-27,Espanol,Vallecano,2.0,1.0,H,,,,,,,,,,,,,
primera,2000-02-27,La Coruna,Mallorca,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-27,Santander,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-02-27,Valladolid,Oviedo,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-02-27,Zaragoza,Celta,0.0,1.0,A,,,,,,,,,,,,,
primera,2000-03-04,Barcelona,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,2000-03-04,Oviedo,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-04,Valencia,Ath Bilbao,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-05,Ath Madrid,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,2000-03-05,Celta,Santander,1.0,0.0,H,,,,,,,,,,,,,
